临沂电信组播,#genre#
CGTN阿拉伯语,http://144.52.146.229:5002/udp/239.21.2.34:5002
CGTN俄语,http://144.52.146.229:5002/udp/239.21.2.35:5002
CGTN法语,http://144.52.146.229:5002/udp/239.21.2.33:5002
CGTN纪录,http://144.52.146.229:5002/udp/239.21.2.31:5002
CGTN西班牙语,http://144.52.146.229:5002/udp/239.21.2.32:5002
IPTV5+,http://144.52.146.229:5002/udp/239.21.1.161:5002
IPTV经典电影,http://144.52.146.229:5002/udp/239.21.1.124:5002
IPTV魅力时尚,http://144.52.146.229:5002/udp/239.21.1.129:5002
IPTV热播剧场,http://144.52.146.229:5002/udp/239.21.1.128:5002
IPTV少儿动画,http://144.52.146.229:5002/udp/239.21.1.125:5002
IPTV相声小品,http://144.52.146.229:5002/udp/239.21.1.126:5002
爱生活,http://144.52.146.229:5002/udp/239.21.1.212:5002
安徽卫视,http://144.52.146.229:5002/udp/239.21.1.21:5002
安徽卫视,http://144.52.146.229:5002/udp/239.21.1.159:5002
安丘新闻,http://144.52.146.229:5002/udp/239.21.2.13:5002
北京纪实,http://144.52.146.229:5002/udp/239.21.1.172:5002
北京卫视,http://144.52.146.229:5002/udp/239.21.1.20:5002
北京卫视,http://144.52.146.229:5002/udp/239.21.1.88:5002
滨州公共,http://144.52.146.229:5002/udp/239.21.1.119:5002
滨州好生新闻,http://144.52.146.229:5002/udp/239.21.1.238:5002
滨州新闻,http://144.52.146.229:5002/udp/239.21.1.118:5002
兵团卫视,http://144.52.146.229:5002/udp/239.21.1.234:5002
财富天下,http://144.52.146.229:5002/udp/239.21.1.127:5002
昌乐新闻,http://144.52.146.229:5002/udp/239.21.1.245:5002
昌邑新闻,http://144.52.146.229:5002/udp/239.21.2.27:5002
超清电影 4K,http://144.52.146.229:5002/udp/239.21.1.179:5002
车迷,http://144.52.146.229:5002/udp/239.21.2.39:5002
茌平综合,http://144.52.146.229:5002/udp/239.21.1.219:5002
单县综合,http://144.52.146.229:5002/udp/239.21.2.21:5002
德州公共,http://144.52.146.229:5002/udp/239.21.1.76:5002
德州新闻,http://144.52.146.229:5002/udp/239.21.1.75:5002
定陶,http://144.52.146.229:5002/udp/239.21.1.244:5002
东方卫视,http://144.52.146.229:5002/udp/239.21.1.23:5002
东方卫视,http://144.52.146.229:5002/udp/239.21.1.111:5002
东明,http://144.52.146.229:5002/udp/239.21.1.246:5002
东南卫视,http://144.52.146.229:5002/udp/239.21.1.29:5002
东南卫视,http://144.52.146.229:5002/udp/239.21.1.113:5002
东平新闻,http://144.52.146.229:5002/udp/239.21.1.216:5002
东营公共,http://144.52.146.229:5002/udp/239.21.1.82:5002
东营新闻,http://144.52.146.229:5002/udp/239.21.1.81:5002
动作影院,http://144.52.146.229:5002/udp/239.21.1.123:5002
甘肃卫视,http://144.52.146.229:5002/udp/239.21.1.47:5002
甘肃卫视,http://144.52.146.229:5002/udp/239.21.2.22:5002
冠县综合,http://144.52.146.229:5002/udp/239.21.1.250:5002
光影,http://144.52.146.229:5002/udp/239.21.1.131:5002
广播,http://144.52.146.229:5002/udp/239.21.2.36:5002
广东卫视,http://144.52.146.229:5002/udp/239.21.1.26:5002
广东卫视,http://144.52.146.229:5002/udp/239.21.1.92:5002
广西卫视,http://144.52.146.229:5002/udp/239.21.1.39:5002
贵州卫视,http://144.52.146.229:5002/udp/239.21.1.42:5002
贵州卫视,http://144.52.146.229:5002/udp/239.21.1.166:5002
